number_of_BBP,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names,Buzz,Burst-pulse
2,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_100900,2,0
1,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101000,1,0
1,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101100,1,0
1,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101200,1,0
4,AV+D,SSF,SOCI,DOL1,12/07/2020,6,SSF,SCW1807_20200712_114800,2,2
0,D,SSF,DEPL,DOL1,12/07/2020,3,SSF,SCW1807_20200712_114900,0,0
10,D,SSF,DEPL,DOL1,12/07/2020,3,SSF,SCW1807_20200712_115000,9,1
9,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115100,6,3
0,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115200,0,0
2,D+AP,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115300,1,1
0,T,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_130900,0,0
0,T,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_131100,0,0
0,AV,F,DEPL,NC,12/07/2020,6,tremail,SCW1807_20200712_132000,0,0
0,D,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_132100,0,0
0,AP,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_132200,0,0
0,AV,F,DEPL,NC,12/07/2020,4,tremail,SCW1807_20200712_132600,0,0
0,AV+D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_132700,0,0
1,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_132800,1,0
0,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_132900,0,0
0,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_133000,0,0
0,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_133100,0,0
0,AV+D,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_134200,0,0
4,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134300,0,4
0,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134400,0,0
2,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134500,1,1
1,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134600,1,0
1,AP,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_134900,1,0
0,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135500,0,0
6,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135600,5,1
4,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135700,2,2
1,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_135800,1,0
0,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_135900,0,0
0,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140000,0,0
0,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140100,0,0
0,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140200,0,0
2,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140300,0,2
0,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140400,0,0
4,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140500,4,0
1,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140600,1,0
1,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140700,0,1
0,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140800,0,0
2,T,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_142600,1,1
1,T,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_142700,1,0
3,AV,SSF,DEPL,NC,13/07/2020,30,SSF,SCW1807_20200713_063700,2,1
