Fichier Audio,Date,Heure (UTC),T,AV,AV+D,D,D+AP,AP,AP+AV,F,SSF,NSP,CHAS,SOCI,DEPL,SONAR,SIGNAL
13072020/SCW1807_20200713_073900.wav,13/07/2020,7:39,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_074000.wav,13/07/2020,7:40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_074100.wav,13/07/2020,7:41,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_074200.wav,13/07/2020,7:42,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_075400.wav,13/07/2020,7:54,0,1,0,0,0,0,0,0,1,0,0,1,0,0,DOL6
13072020/SCW1807_20200713_075500.wav,13/07/2020,7:55,0,0,1,0,0,0,0,0,1,0,0,0,1,0,DOL6
13072020/SCW1807_20200713_075600.wav,13/07/2020,7:56,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DOL6
13072020/SCW1807_20200713_075700.wav,13/07/2020,7:57,0,0,0,1,0,0,0,0,1,0,0,0,1,0,DOL6
13072020/SCW1807_20200713_075800.wav,13/07/2020,7:58,0,0,0,1,0,0,0,0,1,0,0,1,0,0,DOL6
13072020/SCW1807_20200713_075900.wav,13/07/2020,7:59,0,0,0,1,0,0,0,0,1,0,0,1,0,0,DOL6
13072020/SCW1807_20200713_081700.wav,13/07/2020,8:17,1,0,0,0,0,0,0,0,0,1,0,0,1,0,DOL5
13072020/SCW1807_20200713_081800.wav,13/07/2020,8:18,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_081900.wav,13/07/2020,8:19,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_082000.wav,13/07/2020,8:20,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_082100.wav,13/07/2020,8:21,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_085200.wav,13/07/2020,8:52,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_085300.wav,13/07/2020,8:53,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_085400.wav,13/07/2020,8:54,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_085500.wav,13/07/2020,8:55,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_085600.wav,13/07/2020,8:56,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_085700.wav,13/07/2020,8:57,1,0,0,0,0,0,0,1,0,0,0,0,1,0,DOL5
13072020/SCW1807_20200713_091400.wav,13/07/2020,9:14,1,0,0,0,0,0,0,0,1,0,0,1,0,0,DOL5
13072020/SCW1807_20200713_091500.wav,13/07/2020,9:15,1,0,0,0,0,0,0,0,1,0,0,1,0,0,DOL5
13072020/SCW1807_20200713_091600.wav,13/07/2020,9:16,1,0,0,0,0,0,0,0,1,0,0,1,0,0,DOL5
13072020/SCW1807_20200713_091700.wav,13/07/2020,9:17,1,0,0,0,0,0,0,0,1,0,0,1,0,0,DOL5
13072020/SCW1807_20200713_091800.wav,13/07/2020,9:18,1,0,0,0,0,0,0,0,1,0,0,1,0,0,DOL5
13072020/SCW1807_20200713_091900.wav,13/07/2020,9:19,1,0,0,0,0,0,0,0,1,0,0,1,0,0,DOL5
13072020/SCW1807_20200713_092200.wav,13/07/2020,9:22,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_092300.wav,13/07/2020,9:23,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_092400.wav,13/07/2020,9:24,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_092500.wav,13/07/2020,9:25,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_092600.wav,13/07/2020,9:26,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_092700.wav,13/07/2020,9:27,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_094500.wav,13/07/2020,9:45,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_094600.wav,13/07/2020,9:46,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
13072020/SCW1807_20200713_094700.wav,13/07/2020,9:47,1,0,0,0,0,0,0,0,0,1,0,1,0,0,DOL5
